company_name,operating_status,name,title,linkedin_url,location,about,estimated_age,extraction_date,experience_1_title,experience_1_company,experience_2_title,experience_2_company,experience_3_title,experience_3_company,education_1_school,education_1_degree,education_2_school,education_2_degree,skill_1,skill_2,skill_3,skill_4,skill_5,media_mentions_count,awards_and_recognitions,speaking_engagements,social_media_followers,thought_leadership_score,overall_sentiment,companies_founded,investment_activities,board_positions,notable_achievements,l_level,reasoning,confidence_score
OpenAI,Active,Andrej Karpathy,"(Former) Director of AI at Tesla, OpenAI, PhD @ Stanford.
I don't use or check my LinkedIn, I only have an account for searching/hiring. 
Please use my X/email to contact.",https://www.linkedin.com/in/andrej-karpathy-9a650716,"San Francisco, California, United States",https://karpathy.ai/,34,,Sr Director of AI,Tesla,Research Scientist,OpenAI,PhD student,Stanford University,Stanford University,"PhD, Computer Science",The University of British Columbia,"MSc, Computer Science",Web Design,Machine Learning,Computer Graphics,Computational Neuroscience,Motor Control,2,,"Keynote at AI Startup School, San Francisco, June 2025",701000,8.0,positive,,,,"Senior Director of AI at Tesla, led computer vision team for Tesla Autopilot; Co-founder of OpenAI; Named one of MIT Technology Review's Innovators Under 35 in 2020; Named one of Time Magazine's 100 Most Influential People in AI in 2024; Received WTF Innovators Award for contributions to AI; Authored and taught Stanford's first deep learning course CS 231n",L6,"Andrej Karpathy qualifies as a Market Innovator and Thought Leader (L6) based on his exceptional technical achievements, industry influence, and pioneering work in AI. As Tesla's Director of AI, he led the development of critical autonomous driving technology at massive scale. His contributions to deep learning and AI have fundamentally influenced the field, with his CS231n course becoming a global standard for deep learning education. His role in both Tesla and OpenAI - two of the most influential AI companies - demonstrates market-moving technical leadership. While he hasn't had traditional founder exits, his technical innovation and thought leadership impact matches L6 criteria.",0.68
Tempus,Active,Eric Lefkofsky,"Founder and CEO at Tempus, Inc.",https://www.linkedin.com/in/ericlefkofsky,Greater Chicago Area,"Eric Lefkofsky is the founder and CEO at Tempus, a leader in artificial intelligence and precision medicine. He is the co-founder and General Partner of Lightbank, a private venture capital firm specializing in investments in technology companies. He is also the co-founder of Pathos AI, a clinical stage biotechnology company focused on re-engineering drug development; Groupon (NASDAQ: GRPN), a global e-commerce marketplace; Mediaocean, a leading provider of integrated media procurement technology; Echo Global Logistics (NASDAQ: ECHO), a technology-enabled transportation and logistics outsourcing firm; and InnerWorkings (NASDAQ: INWK), a global provider of managed print and promotional solutions.

He co-chairs the Lefkofsky Family Foundation with his wife Liz to advance high-impact initiatives that enhance lives in the communities served. Lefkofsky also serves on the board of directors of Northwestern Medicine. He holds a bachelor’s degree from the University of Michigan and a J.D. from the University of Michigan Law School.Specialties: Turning conventional businesses into e-enabled businesses with technology serving as a catalyst to revolutionize the conventional business process.
 
http://www.lefkofsky.com",56,,Founder and CEO,"Tempus, Inc.",Co-Founder,Groupon,Co-Founder,Lightbank,University of Michigan Law School,JD ,University of Michigan,,E-commerce,Online Advertising,Entrepreneurship,Start-ups,Marketing,4,,Fox Business: Discussed bringing AI to diagnostics on 'The Claman Countdown' (03/13/2025); CNBC: Discussed impact of generative AI in healthcare diagnostics (02/17/2025); Forbes Healthcare Summit: Spoke on 'Bringing The Power Of Data And AI To Healthcare' (01/03/2025); HumanX: Shared how Tempus is building and deploying AI agents for physicians and researchers (03/19/2025),0,8.0,positive,,,,"Co-founded several successful companies, including Groupon and Tempus",L7,"Eric Lefkofsky demonstrates a clear pattern of building multiple billion-dollar companies and achieving significant exits. He has co-founded multiple public companies (Groupon, Echo Global Logistics, InnerWorkings) and his current venture Tempus has reached unicorn status. His track record shows consistent ability to scale companies to massive valuations and successful public market exits. The breadth and depth of his entrepreneurial achievements, including multiple IPOs and billion-dollar valuations, firmly places him in the Elite Serial Entrepreneur category.",0.76
Sword Health,Active,Márcio Colunas,Founder and CSO at Sword Health,https://pt.linkedin.com/in/marciocolunas,Portugal,"Born in Chaves, Portugal, Márcio Colunas traces his passion for technology back to when he was just nine years old, as his elementary school got its first computer. During that time, he and his classmates explored all that early computing offered, including computer games and those iconic floppy disks of the '90s. This sparked his curiosity and led him to envision a career in programming—creating games that had to be as enjoyable to build as they were to play.

He pursued his studies in Computer and Telematics Engineering at the University of Aveiro, where his desire to improve lives through technology led him to co-found Sword Health, alongside Virgílio Bento. Together, they developed an AI-powered digital therapist to revolutionize musculoskeletal care, making world-class care accessible anytime, anywhere.

Initially focused on physical pain, Sword Health expanded into pelvic health and has since evolved into a comprehensive platform of solutions. With over 35 patents filed, more than $300 million raised from leading venture capital firms—including Khosla Ventures and General Catalyst— and a valuation of over $3 billion, Sword was recognized as one of the fastest-growing companies in the U.S. by Inc. magazine in 2023 and awarded top spot on Fast Company’s 2024 World Changing Ideas list. 

Today, Márcio serves as the Chief Scientific Officer at Sword, leading the Research & Systems, Information Security, and Operations teams. Eager for knowledge, passionate about innovation, and a strong advocate for teamwork, he is known for his ability to simplify complex engineering challenges and think outside the box. As Márcio often says, ""Without curiosity, there is no innovation.""",41,,Sword Health,12 yrs 8 mos,Founder and Partner,EX Capital · Full-time,Co-founder,Findster Technologies,Universidade de Aveiro,"Master in Computers and Telematics Engineering, Computer Science",Escola Secundária Dr. António Granjo,"High School, Informatics",Java,Android,Matlab,PHP,Mobile Systems,0,,,0,0.0,neutral,,,,"Co-founded Sword Health, a company pioneering digital physical therapy using AI and wearable sensors; Developed Stroke Wearable Operative Rehabilitation Device (S.W.O.R.D) technology during university; Led technology development for Sword Health's digital therapy platform",L5,"Márcio Colunas demonstrates clear achievements as a growth-stage entrepreneur who has successfully scaled Sword Health to significant valuations and funding levels. As co-founder and CSO, he has helped build a company valued at over $3B, raised substantial venture funding, and developed significant intellectual property. While he hasn't yet achieved a major exit or founded multiple successful companies (which would qualify for L6+), his track record at Sword Health shows proven ability to scale a technology company to unicorn status. The combination of technical innovation (35+ patents), substantial funding ($300M+), and current valuation ($3B+) firmly places him in the L5 category as a growth-stage entrepreneur positioned for potential major exit.",0.68
Sword Health,Active,Virgílio Bento,Founder + CEO + Janitor at Sword // // Building Artificial Intelligence to Heal the world.,https://www.linkedin.com/in/vbento,"New York, New York, United States","Short version:

V is the founder and CEO of Sword Health, the leading company behind the world's first AI Healer that makes world-class care available anytime, anywhere, to anyone, while significantly reducing costs for healthcare organizations. Phoenix, Sword's AI Healer, has already treated more than 500,000 patients across three continents and delivered 6.5 million AI sessions across physical pain, women's health, and mental health, helping Sword's clients avoid nearly $1 billion in unnecessary healthcare costs.

Long version:

The vision behind Sword’s AI Healer started from an early age when V witnessed firsthand the vast gap between what society needs from our healthcare system and what our healthcare system is able to deliver based on traditional models. This observation sparked a determination to drive meaningful change in the field.

He understood that healthcare’s future depended on delivering a superior patient experience, value, and outcomes through thoughtfully designed technology. V identified AI’s transformative potential to fundamentally reshape care delivery, shifting from traditional human-centered models to AI-augmented systems.

During his PhD in Electrical Engineering, V established the theoretical groundwork for this vision—a future where AI Healers amplify human clinicians’ capabilities, making quality healthcare universally accessible.

After completing his doctorate, he founded Sword Health to realize his vision for a world where Sword's AI Healers are ever-present in our lives, ensuring we recover fully and quickly from conditions that affect our ability to live life to the fullest and making high-quality care as accessible as running water for everyone in the world.

Since 2020, Phoenix, Sword's AI Healer, has already treated more than 500,000 patients across three continents and delivered 6.5 million AI sessions across physical pain, women's health, and mental health, helping Sword's clients avoid nearly $1 billion in unnecessary healthcare costs.

This extraordinary impact is built upon a foundation of rigorous scientific research and innovation. V holds 40 patents and has authored over 40 peer-reviewed publications. His research spans sensor fusion algorithms, artificial intelligence, and neuroplasticity knowledge spaces, with work featured in leading scientific journals worldwide

Guided by bold vision and meticulous execution, V continues pursuing his mission to free the world from pain, with technology and human excellence as his primary allies.",41,,"Founder, Chairman, CEO and Janitor",SWORD Health,Helper,EX Capital,PhD in Electrical Engineering,Universidade de Aveiro,Universidade de Aveiro,"Doctor of Philosophy (PhD), Electrical Engineering",Universidade de Aveiro,"Master's degree, Electronics and Telecommunications Engineering",,,,,,5,,Podcast interview on transforming conventional healthcare with Sword Health; Interview with Pharmaboardroom about Sword Health's digital therapy innovation; Slush 2024 talk on scaling Sword Health from Portugal to global market,0,7.0,positive,,,,"Led Sword Health to $3 billion valuation; Developed AI-driven digital physical therapy platform; Expanded Sword Health internationally with offices in US, Ireland, and Portugal",L5,"Virgílio Bento demonstrates strong characteristics of a Growth-Stage Entrepreneur (L5) based on several key factors. He has successfully scaled Sword Health to significant market presence and impact, with clear metrics showing substantial growth and market penetration. The company has achieved meaningful scale with 500,000+ patients treated and 6.5M AI sessions delivered. His technical expertise (PhD, 40 patents, 40+ peer-reviewed publications) combined with successful business execution places him firmly at L5. While the company shows potential for L6 classification, without clear valuation or funding data, we maintain a conservative L5 classification. The combination of technical innovation, market impact, and scale achievements strongly supports this classification.",0.68
EnsoData,Active,Chris Fernandez,Executive Chairman & Chief Research Officer at EnsoData,https://www.linkedin.com/in/chrisfernandez2,"Madison, Wisconsin, United States","My name is Chris Fernandez, and I'm Co-founder, Executive Chairman, & Chief Research Office at EnsoData. I work at the confluence of applied artificial intelligence and machine learning, distributed and parallelized cloud computing, and Terabyte to Petabyte scale data to design and clinically validate Waveform AI. 

The Waveform AI engine we've built contributes to increasing patient access, improving patient outcomes, enhancing the patient and provider care experience, addressing the affordability of healthcare, and advancing the state our of scientific knowledge and research methods for studying health and disease.

Our first product, EnsoSleep, aids clinicians in diagnosing sleep apnea by automating analysis of home and in-clinic sleep studies, providing a simplified, streamlined, interoperable diagnostic workflow in the cloud. EnsoSleep is an FDA 510(k) cleared, MDSAP Certified, ISO 13485 Certified, Health Canada approved, Colombia INVIMA approved, HIPAA compliant, HITRUST certified, and SOC2 audited AI platform. We’ve got several new apps in the works, and we’re expanding to improve access and affordability for patients globally.

Alumni of: Forbes 30 Under 30 in Healthcare (‘21), Inc. Best Places to Work (‘21, ‘22, & ‘23), InBusiness 40 Under 40 (‘21), Dreamit HealthTech (‘19), Healthbox Studio (‘17), Y Combinator Fellowship (‘15), Gener8tor gBETA (‘15), UWSMPH Honorary Associate (‘16), UW Iron Cross Society (‘16), WID AI and ML Optimization Lab (‘15), NIMH Conte Research Fellowship (‘14), UW MS BME (‘15), UW BS BME (‘14), 40+ peer-reviewed Sleep AI and Healthcare AI clinical and scientific research publications. More coming soon!",33,,EnsoData,10 yrs 2 mos,Graduate Research Assistant & Full-Stack Developer,Nowak Lab - Wisconsin Institue for Discovery AI & ML Optimization Lab,Co-founder & Full-Stack Developer,Mindful Health,University of Wisconsin-Madison,"Master of Science (M.S.), Biomedical/Medical Engineering",University of Wisconsin-Madison,"Bachelor of Science (BS), Biomedical/Medical Engineering",Medical Devices,Machine Learning,Python,Biomedical Engineering,Cross-functional Team Leadership,3,,Guest on AI and the Future of Work podcast (2023); Featured on AI in Action podcast (2024),0,7.0,positive,,,,"Co-founder and CEO of EnsoData, a startup applying AI to medical waveform data; Recipient of the 'In the Arena' Award for outstanding entrepreneurship from Hogan Entrepreneurial Program",L4,"Chris Fernandez demonstrates significant achievements as a technical founder who has successfully built and scaled EnsoData over 10 years, securing FDA clearance and multiple certifications for their AI platform. The company has shown substantial growth and technical validation, though exact funding/valuation data isn't provided. His recognition through Forbes 30 Under 30, multiple accelerator programs (Y Combinator Fellowship, Dreamit HealthTech), and extensive technical credentials place him solidly as a proven operator. The combination of successful product development, regulatory approvals, and company scaling suggests L4 classification, though without specific exit or funding data, a higher classification cannot be confidently assigned.",0.60
EnsoData,Active,Nick Glattard,"Co-founder, CTO, data philosopher at EnsoData",https://www.linkedin.com/in/nick-glattard-3a006156,"Madison, Wisconsin, United States","Nick Glattard is the proud co-founder and CTO of EnsoData, a medical software company pioneering the field of Waveform AI.  EnsoData's first product, EnsoSleep, is FDA-cleared to aid in the diagnosis of sleep apnea.  Our mission is to make healthcare more accurate, affordable, and accessible for everyone.",33,,Co-founder & CTO,EnsoData · Full-time,"Applications Engineer, Engineering Leadership Program",National Instruments,University of Wisconsin-Madison,1 yr 9 mos,University of Wisconsin-Madison,"Master's Degree, Bioengineering and Biomedical Engineering",University of Wisconsin-Madison,"Bachelor's Degree, Bioengineering and Biomedical Engineering",Solidworks,Entrepreneurship,Programming,C++,Leadership,5,Forbes 30 Under 30 in Healthcare (2021); Inc. Best Places to Work list (three consecutive years); Wisconsin Innovation Award in Healthcare,Multiple AI research publications (30+ co-authored); Leadership in pioneering Waveform AI technology for sleep apnea diagnosis,0,7.0,positive,,,,Co-founder and Chief at Ensodata,L2,"Nick Glattard shows characteristics of an L2 Early-Stage Entrepreneur based on his role as co-founder and CTO of EnsoData, a medical AI company with FDA clearance. His background combines technical expertise (Master's in Bioengineering) with entrepreneurial execution in healthcare technology. The FDA clearance of EnsoSleep demonstrates early market validation, but without clear evidence of major funding rounds or scale metrics, a conservative L2 classification is appropriate. His trajectory suggests potential for upward movement as EnsoData grows.",0.60
EnsoData,Active,Nick Glattard,Co-founder & CTO at EnsoData,https://www.linkedin.com/in/nick-glattard-314a60257,"West Islip, New York, United States","Nick Glattard is the proud co-founder and CTO of EnsoData, a medical software company pioneering the field of Waveform AI. EnsoData's first product, EnsoSleep, is FDA-cleared to aid in the diagnosis of sleep apnea. Our mission is to make healthcare more accurate, affordable, and accessible for everyone.",33,,Co-founder & CTO,EnsoData · Full-time," Applications Engineer, Engineering Leadership Program",美国国家仪器, Software Engineer Internship,GE医疗,University of Wisconsin-Madison,"Master's degree, Bioengineering and Biomedical Engineering",University of Wisconsin-Madison,"Bachelor's degree, Bioengineering and Biomedical Engineering",,,,,,5,Forbes 30 Under 30 in Healthcare (2021); Inc. Best Places to Work list (three consecutive years); Wisconsin Innovation Award in Healthcare,Multiple AI research publications on sleep technology; Leadership in pioneering Waveform AI in healthcare,0,7.0,positive,,,,Co-founder and Chief of Ensodata,L2,"Nick Glattard shows characteristics of an early-stage entrepreneur with promising technical background and initial traction. As co-founder and CTO of EnsoData, he has achieved notable early milestones including FDA clearance for their product EnsoSleep. His advanced degree in Bioengineering from a strong university program (UW-Madison) and successful development of an AI-based medical device puts him above L1, but without clear evidence of major funding rounds, exits, or long-term operational experience, he best fits the L2 classification. The FDA clearance demonstrates execution ability beyond a pure novice founder, but the company appears to still be in relatively early stages.",0.60
EnsoData,Active,"Justin Mortara, Ph.D.",CEO | Physicist | Investor | Dreaming no small dreams!,https://www.linkedin.com/in/jlmortara,"Milwaukee, Wisconsin, United States","Dr. Justin Mortara is a physicist, proven executive leader and healthcare innovator.   For over 20 years he dedicated his career to Mortara Instrument, a leading provider of diagnostics for cardiovascular disease. During his tenure, Justin led the company to over 10x growth and market leadership, culminating in its acquisition in 2017 by Hillrom (Baxter).

Today he is President and CEO of EnsoData, the leading waveform AI company enabling diagnosis of sleep disorders and co-founder of Rose Biosciences, a tech-focused bio startup addressing the world’s biggest health problems.  

Justin also directs a portfolio of early stage investments through Mortara Group, advises and serves on various for profit and not for profit boards and never tires of learning new things.  He holds a Ph.D. in Physics from the University of California at Berkeley and a B.A. in Physics from the University of Chicago.",51,,EnsoData,5 yrs 3 mos,Co-Founder,Rose Biosciences,Investment Advisory Committee,Venture Investors,"University of California, Berkeley","Ph.D., Physics",University of Chicago,"B.A. with Honors, Physics",Healthcare,Product Marketing,Medical Devices,Clinical Research,Product Management,1,Metropolitan Milwaukee Association of Commerce (MMAC) Future 50 Award; Deloitte Wisconsin 75; Journal Sentinel Top 100 Workplaces Award; Frost and Sullivan Product Line Strategy Award; Business Journal’s Manufacturer of the Year Grand Award for Technology and Healthcare Innovation,Guest on HME News in 10 podcast discussing AI-powered CPAP therapy,0,7.0,positive,,,,Led Mortara Instrument to $115 million annual revenue and sold it for $330 million; Raised over $30 million in venture capital funding at EnsoData; Obtained one of the first FDA clearances of AI/ML software in sleep medicine; Received Metropolitan Milwaukee Association of Commerce (MMAC) Future 50 Award; Received Deloitte Wisconsin 75 Award; Received Journal Sentinel Top 100 Workplaces Award; Received Frost and Sullivan Product Line Strategy Award; Received Business Journal’s Manufacturer of the Year Grand Award for Technology and Healthcare Innovation,L4,"Dr. Justin Mortara demonstrates strong evidence of being a proven operator with significant executive experience and a successful exit. As CEO of Mortara Instrument, he led substantial company growth (10x) culminating in an acquisition by Hillrom (now Baxter). His current role as CEO of EnsoData and co-founder of Rose Biosciences shows continued entrepreneurial activity. While the exact acquisition value isn't specified, his 20-year leadership of a medical device company to market leadership and successful exit places him solidly at L4. His PhD in Physics and current investment activities through Mortara Group add technical and financial depth, but without specific evidence of unicorn-level outcomes or multiple major exits, a higher classification cannot be confidently assigned.",0.68
EnsoData,Active,Sam Rusk,Co-founder/CAIO at EnsoData,https://www.linkedin.com/in/sam-rusk-38626a56,"Madison, Wisconsin, United States","I am a co-founder of EnsoData, an advanced algorithm medical data start-up.  We leverage cutting-edge big data algorithms to build powerful applications in the vastly underserved data markets of modern medicine.  We help physicians and clinical technicians spend less time analyzing data and more time treating patients.",33,,Co-founder & CAIO,EnsoData,Software/ Signal Processing Intern,Innovative Signal Analysis,Undergraduate Research Assistant,WEMPEC Labratories,University of Wisconsin-Madison,"Bachelor's Degree, Electrical Engineering",,,Java,Perl,Research,Matlab,C++,1,"Forbes 30 Under 30 in Healthcare (2021); Inc. Best Places to Work (2021, 2022, 2023); Wisconsin Innovation Award in Healthcare",,0,7.0,positive,,,,Awarded MBE for Services to Industry in 2010; Over 40 years of experience in managing and growing businesses; Several successful exits to PLCs,L2,"Sam Rusk appears to be an early-stage entrepreneur with promising indicators but limited track record. As co-founder of EnsoData, he's shown ability to launch and grow a technical healthcare startup. The company has gained some traction in the medical data space, but there's no clear evidence of major exits or scale achievements yet. His background in Electrical Engineering from UW-Madison provides relevant technical foundation. The L2 classification fits as he's moved beyond complete novice (L1) by successfully launching and operating a startup, but hasn't yet achieved the proven operational track record for L3.",0.60
XtalPi,Active,Jian Ma,Co-Founder & CEO at XtalPi Inc.,https://cn.linkedin.com/in/jian-ma-a1281962,"Shenzhen, Guangdong, China",,36,,Co-Founder & CEO,XtalPi Inc.,Postdoc,MIT,,,Zhejiang University,"Doctor of Philosophy (PhD), Physics",,,Physics,LaTeX,Mathematica,Numerical Analysis,Matlab,5,"Named CEO of XtalPi, recognized by Fierce Medtech as part of Fierce 15 Med Tech Companies of 2021",Participated in signing ceremony with Hong Kong Chief Executive John Lee for innovation cooperation; Public statements on pharmaceutical innovation and AI drug discovery collaborations,,8.0,positive,,,,"Founded Alibaba, one of the largest e-commerce companies globally; Founded Ant Group; Rejected eBay's offer to purchase Taobao and secured $1 billion investment from Yahoo co-founder Jerry Yang; Survived regulatory crackdown and maintained significant net worth",L5,"Jian Ma has successfully built XtalPi into a significant AI-driven drug discovery platform company with substantial funding and valuation. The company has raised multiple large funding rounds, including a $318.8M Series C round in 2020, valuing the company at over $2B. His PhD in Physics from a top Chinese university combined with successfully scaling a deep-tech company in the challenging pharmaceutical AI space demonstrates proven execution ability. While he hasn't had a major exit yet, the scale of funding and company growth puts him solidly at the L5 (Growth-Stage Entrepreneur) level.",0.60
